capteur_1_t1,capteur_2_t1,capteur_3_t1,capteur_4_t1,capteur_5_t1,capteur_6_t1,classe
502,133,344,0,0,421,Standard
503,163,329,0,0,418,Standard
508,176,315,0,0,420,Standard
510,199,294,0,0,414,Standard
503,202,283,0,0,402,Standard
502,213,288,0,0,401,Standard
503,223,289,0,0,406,Standard
506,220,294,0,0,404,Standard
509,226,290,0,0,400,Standard
511,229,291,0,0,400,Standard
509,229,286,0,0,391,Standard
506,225,275,0,0,383,Standard
506,234,277,0,0,382,Standard
511,239,282,0,0,383,Standard
511,243,273,0,0,382,Standard
511,246,274,0,0,378,Standard
510,241,278,0,0,379,Standard
511,226,295,0,0,376,Standard
511,222,302,0,0,378,Standard
511,218,303,0,0,373,Standard
507,214,304,0,0,375,Standard
511,212,304,0,0,376,Standard
509,213,307,0,0,371,Standard
511,212,311,0,0,366,Standard
511,227,305,0,0,363,Standard
511,226,320,0,0,346,Standard
511,234,318,0,0,334,Standard
511,237,331,0,0,325,Standard
511,240,321,2,0,322,Standard
511,227,336,0,0,330,Standard
527,195,342,7,0,330,Standard
528,169,358,15,0,339,Standard
523,144,372,21,0,339,Standard
511,132,399,23,0,346,Standard
506,62,423,38,0,368,Standard
510,0,463,39,0,383,Standard
511,0,483,42,0,384,Standard
500,0,479,47,0,400,Standard
503,0,482,39,0,411,Standard
489,0,471,26,0,427,Standard
478,0,469,28,0,427,Standard
479,0,467,15,0,423,Standard
477,7,472,2,0,429,Standard
493,7,464,6,0,414,Standard
490,22,448,0,0,422,Standard
496,48,438,0,0,430,Standard
489,48,441,0,0,432,Standard
489,64,437,0,0,443,Standard
485,64,435,0,0,450,Standard
479,77,437,0,0,459,Standard
483,71,432,0,0,463,Standard
486,48,428,0,0,476,Standard
496,21,418,0,0,463,Standard
496,58,403,0,0,475,Standard
496,59,401,0,0,490,Standard
496,54,403,0,0,488,Standard
496,64,399,0,0,479,Standard
483,85,387,0,0,479,Standard
488,94,386,0,0,480,Standard
485,96,379,0,0,486,Standard
487,83,379,0,0,489,Standard
480,101,375,0,0,494,Standard
489,112,377,0,0,500,Standard
478,112,373,0,0,500,Standard
480,112,371,0,0,496,Standard
477,119,373,0,0,505,Standard
480,114,376,0,0,507,Standard
486,128,379,0,0,509,Standard
483,142,373,0,0,506,Standard
477,154,375,0,0,496,Standard
475,144,377,0,0,496,Standard
479,147,375,0,0,496,Standard
485,140,369,0,0,492,Standard
490,145,364,0,0,474,Standard
494,166,358,0,0,464,Standard
496,164,358,0,0,453,Standard
495,176,354,0,0,437,Standard
496,184,352,0,0,430,Standard
502,191,353,0,0,405,Standard
497,192,359,0,0,400,Standard
497,193,365,0,0,387,Standard
496,196,368,0,0,375,Standard
497,170,383,0,0,374,Standard
503,133,399,0,0,377,Standard
511,98,414,0,0,381,Standard
503,70,425,0,0,385,Standard
499,64,427,0,0,389,Standard
507,19,448,0,0,395,Standard
496,23,461,0,0,394,Standard
498,8,462,5,0,395,Standard
500,5,466,0,0,397,Standard
501,16,477,6,0,391,Standard
496,15,493,0,0,393,Standard
496,12,506,14,0,398,Standard
496,0,530,46,0,400,Standard
493,0,531,48,0,402,Standard
489,0,540,42,0,417,Standard
